burst_num,slope,intercept,r_value,p_value,std_err,min_time,max_time
1120,0.006347633331531673,576.1592650381278,0.011022547094984247,0.7932236293581993,0.024204452813430716,-32.512,38.912
1122,0.06658799695027659,735.2182084541954,0.13447961233558328,3.838731878938629e-06,0.014344439084999243,-54.784,78.4
1123,0.3085808120099805,563.635992732104,0.8270116133409532,0.0,0.004683504837361587,-101.12,130.94400000000002
1125,0.08680053467590577,798.0319562897512,0.208075180003562,1.5435030969078888e-12,0.012138132048573006,-60.928000000000004,77.376
1126,0.05045126740250863,688.3125777565263,0.13861077963793497,7.238339465131185e-07,0.010130842963648754,-62.72,82.624
1128,-0.12326762611559974,483.52708369210706,-0.1340387347988717,0.002671053000075228,0.04083825896225035,-24.064,24.256
1129,-0.072073908547133,531.1732818253676,-0.07205459041919528,0.10756184472692558,0.04470657642112452,-24.576,24.896
1141,-0.014653635016384023,493.5295091817672,-0.04734277574644967,0.0935225219684799,0.008730832127198346,-59.584,82.112
1145,-0.019443391564460462,507.0104468562701,-0.09158261613434102,7.847338832139988e-05,0.004912578570889831,-119.04,104.512
1148,0.016646344087927093,468.59889211043213,0.11559924600690562,3.867551103256902e-09,0.002816546029447825,-117.952,201.28
1150,-0.004151143141119084,512.1534932688286,-0.027987702366994605,0.14221980088980224,0.0028277625064237477,-118.784,254.336
1153,-0.043495211709685906,539.5209796015198,-0.07460945456778013,0.0766582837525944,0.02452264345853962,-37.568,37.376
1154,-0.1626125877330724,621.1670322056149,-0.15253358730519898,0.0006210194718786141,0.047213049033338686,-24.0,24.128
1157,-0.3536104905160489,665.944494649727,-0.28455709040273297,3.393202553931303e-05,0.08340744979887212,346.30400000000003,359.42400000000004
1159,-0.2144065240925458,892.2598815352533,-0.39109492384202577,5.729618537449804e-43,0.014956771755870612,-71.808,60.864000000000004
1167,-0.003443731300090463,547.4575455672899,-0.013376804067584736,0.6003772102765303,0.0065724206671642265,-76.672,100.224
1190,0.062190455745472495,489.3217075892857,0.07653135831042471,0.1057248368638882,0.038365539301296776,-26.176000000000002,26.176000000000002
1192,-0.19148782574630843,550.1710970421861,-0.8037771547812961,0.0,0.0031227565275419216,-137.984,139.904
1196,-0.04546377178055343,454.23054129869666,-0.05979869959983547,0.055876622854448374,0.02375105837355249,219.904,285.312
1197,-0.10809755588726129,575.6242392595528,-0.3546766576527361,3.161177845405721e-45,0.007402282860417838,-83.136,87.424
1200,-0.023528385520286358,545.1540439879572,-0.10134655451968715,2.3829543075228083e-05,0.005552878974671323,-93.184,105.536
1204,-0.023675959844020524,540.1202870586105,-0.02494438865188519,0.5778936723636131,0.04251918219930079,-25.664,29.12
1211,0.19207803212100774,594.0656815267491,0.15837513890561256,0.0003780175296588894,0.05366114180905306,-24.576,25.152
1213,-0.022899782742713353,531.2737263676122,-0.06818505695527258,0.015325604603495243,0.00943192983850138,-61.696,81.664
1218,0.011223018598291584,479.10556932646233,0.017295371885117265,0.6745171851010324,0.026710917575342035,-29.248,38.336
1221,-0.14459206180430897,555.900657347132,-0.13651355045224262,0.007702073769584719,0.053968191028060344,-18.88,24.704
1223,0.09351935320299734,569.3020516648825,0.09507934369403372,0.033542011655600855,0.04387616815899672,-24.704,25.152
1244,0.1327262560023973,504.5976001243732,0.5362216430760985,4.286460531727812e-175,0.004311671219754621,-119.808,219.96800000000002
1279,-0.23198480356923684,573.1110400490958,-0.781741555016163,0.0,0.0038849637733095925,-119.808,141.76
1289,0.1325376046463141,570.5560791698618,0.13381726651720496,0.0027153365332487356,0.043983378514834574,-24.064,24.64
1291,0.030253999824925423,524.5827921590516,0.06293219823092183,0.05175103567518139,0.01553366732481849,-46.784,61.952
1298,0.02315009593631806,567.558979923251,0.02200545766694288,0.623507873776909,0.04713055364350292,-25.344,26.944
1303,-0.01139098352167264,709.5781254006705,-0.03195008791729705,0.2446197039147429,0.009785783993717264,-69.888,82.944
1306,-0.20209541455634197,827.9051922635867,-0.20032804105701096,1.633576161625605e-05,0.04638661682308436,-26.560000000000002,30.144000000000002
1308,-0.0686206192991424,550.1140708598176,-0.06463374344595756,0.14897922727126894,0.047475725989943054,-24.064,24.128
1346,-0.12979940700394074,1120.4470284286929,-0.05965653332084831,0.31643616445064404,0.12933496723496923,-13.888,18.304000000000002
1359,0.01485687903248855,497.21634831948387,0.015373125972974055,0.7316635819541653,0.04330114742915548,-24.128,24.384
1382,-0.04359358501203257,510.79889125115943,-0.06717934948339045,0.13836451107645628,0.029368816055766085,-32.384,36.096000000000004
1384,-0.8551977681296212,805.0939871548404,-0.6624644280546673,1.0606896042272101e-194,0.02469035139267274,82.24,180.48
1385,-0.0728572177858823,492.71639702225224,-0.42525224058978534,3.1752793809405573e-110,0.0031043823592581507,-118.016,201.216
1390,0.045034075788617046,529.1559475166592,0.12654738439675653,2.393909309995871e-05,0.010614631564603783,-59.328,69.888
1396,0.05916305795865225,608.2720963674892,0.17914362332147724,6.335003211309518e-11,0.008976986106203445,-63.936,83.776
1404,-0.10328927197031078,525.3061974329695,-0.09921869407576582,0.0265193149084345,0.04641931993869202,-25.6,24.96
1406,0.1622192458608167,485.69027922588066,0.4286536591790061,6.141963716762995e-57,0.00968612402431995,-59.712,81.08800000000001
1416,0.009259303093445097,468.51574530584645,0.011038053845783552,0.8055211214178445,0.03758760569024159,-25.216,28.16
1419,-0.645425036528549,478.0649192864719,-0.8259442487243063,0.0,0.008944120095154452,-266.24,257.664
1425,-0.07732640126967426,421.18233252173536,-0.13813097095380467,0.0004042733302042742,0.021746872792361573,-31.68,42.624
1432,-0.1943279456443608,782.1697281865618,-0.6841742318011509,2.93215293e-316,0.004328805720389892,-119.808,149.312
1435,0.041137571600054997,510.21463422732427,0.04255232770941539,0.3433142514553299,0.04336915354738882,-25.728,24.0
1439,-0.32010802103162317,716.7619116385705,-0.3475437269020296,3.2968049884969045e-16,0.03794629350123276,-27.968,34.24
1440,0.012004073418380373,751.8584309214964,0.036593951605917184,0.15332728055997338,0.008402741957124338,-73.536,99.2
1443,0.07008455570857486,481.6335344744757,0.08118071405250483,0.06972283617551099,0.0385583980604241,-24.896,27.392
1446,0.11340767520764766,550.9992890248121,0.5021590689810583,2.602418379181123e-134,0.0042679179417171005,-114.24000000000001,132.416
1447,0.2492021060479801,1005.7917613648923,0.5006586243376671,5.933522475855306e-91,0.011442254998650142,-67.968,92.224
1449,-0.06990221144487929,482.1782348137177,-0.35894307142993664,3.702862959072528e-64,0.0039912588614547,-100.032,133.376
1452,0.152835433611002,1266.6158567089074,0.18399495465540344,3.260854987403542e-07,0.029655474966577316,-38.144,48.896
1453,0.07779718824894435,927.868260489976,0.06097889738666223,0.17339237476249417,0.05706380296961883,-24.512,24.576
1456,-0.21203777714420113,621.9701995198507,-0.7623405139044884,0.0,0.003732345819802355,-118.784,179.45600000000002
1458,-0.02397311111512723,741.7726488175741,-0.18868952411978107,3.907842353747983e-26,0.0022463466928559885,-119.552,329.856
1461,0.009180234183494316,480.0375563724571,0.010433802614821392,0.8159716041640367,0.039425102509386724,-24.896,24.448
1463,-0.025310988680567338,824.4240599516378,-0.020446595786339533,0.6483158065391361,0.05546035262453108,-24.128,24.192
